PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Elic Ayomanor,2574142,WR,TEN,NO,,,,,,4,37,1,,,,,30.90,,4,4,4,7,57,2,,2,22,11.70
Jaxon Smith-Njigba,2570341,WR,SEA,@CAR,,,,,,9,72,,,,,,17.70,,9,9,9,12,75,,,,23,11.70
Jauan Jennings,2565114,WR,SF,CHI,,,,,,2,42,1,,,,,30.20,,2,2,2,4,50,,,,24,11.20
Efton Chism III,2574369,WR,NE,@NYJ,,,,,,2,40,1,,,,,35.10,,2,2,2,2,100,1,,1,25,11.00
Zay Flowers,2569573,WR,BAL,@GB,,,,,,4,30,1,,,,,12.20,,4,4,4,5,80,3,1,1,26,11.00
Ricky Pearsall,2572507,WR,SF,CHI,,,,,,5,85,,,,,,30.20,,5,5,5,8,63,,,,27,11.00
Mike Evans,2543468,WR,TB,@MIA,,,,,,3,31,1,,,,,52.20,,3,3,3,7,43,1,,1,28,10.60
Deebo Samuel Sr.,2562721,WR,WAS,DAL,,,,25,,2,68,,,,,,24.20,2,2,4,2,4,50,,,,29,10.30
Xavier Smith,2570002,WR,LAR,@ATL,,,,,,4,67,,,,,,26.00,,4,4,4,6,67,,,,30,10.20
George Pickens,2568159,WR,DAL,@WAS,,,,,,4,78,,,,,,37.10,,4,4,4,5,80,,,,31,9.80
Jerry Jeudy,2563896,WR,CLE,PIT,,,,,,5,54,,,,,,17.10,,5,5,5,7,71,,,,32,9.40
A.J. Brown,2562238,WR,PHI,@BUF,,,,,,5,68,,,,,,13.70,,5,5,5,7,71,,,,33,9.30
Tre Tucker,2570059,WR,LV,NYG,,,,,,5,49,,,,,,22.00,2,5,7,5,6,83,,,,34,8.90
Terry McLaurin,2562489,WR,WAS,DAL,,,,,,5,63,,,,,,24.20,,5,5,5,7,71,,,,35,8.80
Chimere Dike,2574147,WR,TEN,NO,,,,7,,4,55,,,,,,30.90,1,4,5,4,5,80,,,,36,8.20
Tee Higgins,2563731,WR,CIN,ARI,,,,,,4,59,,,,,,36.50,,4,4,4,5,80,,,,37,7.90
Tyler Lockett,2552430,WR,LV,NYG,,,,,,2,9,1,,,,,22.00,,2,2,2,3,67,1,,1,38,7.90
Romeo Doubs,2567586,WR,GB,BAL,,,,,,3,62,,,,,,41.90,,3,3,3,3,100,,,,39,7.70
Nico Collins,2566127,WR,HOU,@LAC,,,,,,3,57,,,,,,42.60,,3,3,3,4,75,,,,40,7.20
CeeDee Lamb,2563848,WR,DAL,@WAS,,,,,,5,46,,,,,,37.10,,5,5,5,10,50,,,,41,7.10
Khalil Shakir,2567334,WR,BUF,PHI,,,,,,6,35,,,,,,24.90,,6,6,6,7,86,,,,42,6.50
Andrei Iosivas,2569657,WR,CIN,ARI,,,,,,4,41,,,,,,36.50,,4,4,4,6,67,,,,43,6.10
Van Jefferson,2564358,WR,TEN,NO,,,,,,3,46,,,,,,30.90,,3,3,3,3,100,,,,44,6.10
Jayden Reed,2569765,WR,GB,BAL,,,,,,4,41,,,,,,41.90,,4,4,4,4,100,,,,45,6.10
Courtland Sutton,2560888,WR,DEN,@KC,,,,,,4,40,,,,,,17.90,,4,4,4,10,40,,,,46,6.00
Josh Downs,2569861,WR,IND,JAX,,,,,,2,34,,,,,,12.10,,2,2,2,5,40,,,,47,5.90
Brian Thomas Jr.,2572162,WR,JAX,@IND,,,,,,4,39,,,,,,25.80,,4,4,4,7,57,,,,48,5.90
John Metchie III,2567682,WR,NYJ,NE,,,,,,3,41,,,,,,16.60,,3,3,3,3,100,,,,49,5.60
Isaiah Williams,2573154,WR,NYJ,NE,,,,5,,4,30,,,,,,16.60,1,4,5,4,5,80,,,,50,5.50
David Sills,2562732,WR,ATL,LAR,,,,,,3,37,,,,,,12.10,,3,3,3,4,75,,,,51,5.20
Jalen Tolbert,2567508,WR,DAL,@WAS,,,,,,4,31,,,,,,37.10,,4,4,4,8,50,,,,52,5.10
Justin Jefferson,2564556,WR,MIN,DET,,,,,,4,30,,,,,,17.50,,4,4,4,5,80,,,,53,5.00
Jakobi Meyers,2562492,WR,JAX,@IND,,,,,,6,39,,,,,1,25.80,,6,6,6,9,67,,,,54,4.90
Dante Pettis,2560836,WR,NO,@TEN,,,,,,3,53,,,,,1,40.50,,3,3,3,4,75,,,,55,4.80
Cedric Tillman,2569681,WR,CLE,PIT,,,,,,1,42,,,,,,17.10,,1,1,1,1,100,,,,56,4.70
Jameson Williams,2567565,WR,DET,@MIN,,,,,,2,37,,,,,,31.90,,2,2,2,3,67,,,,57,4.70
Tyrell Shavers,2571425,WR,BUF,PHI,,,,,,2,36,,,,,,24.90,,2,2,2,3,67,,,,58,4.60
Darius Slayton,2562736,WR,NYG,@LV,,,,,,2,36,,,,,,25.10,,2,2,2,3,67,,,,59,4.60
Darnell Mooney,2563707,WR,ATL,LAR,,,,,,2,35,,,,,,12.10,,2,2,2,3,67,,,,60,4.50
Scott Miller,2562865,WR,PIT,@CLE,,,,,,3,25,,,,,,9.00,,3,3,3,7,43,,,,61,4.00
Demarcus Robinson,2555478,WR,SF,CHI,,,,,,2,30,,,,,,30.20,,2,2,2,2,100,,,,62,4.00
Jahdae Walker,2574021,WR,CHI,@SF,,,,,,2,30,,,,,,29.00,,2,2,2,4,50,,,,63,4.00
Xavier Hutchinson,2569825,WR,HOU,@LAC,,,,8,,2,21,,,,,,42.60,1,2,3,2,3,67,,,,64,3.90
Mason Kinsey,2565459,WR,TEN,NO,,,,,,1,34,,,,,,30.90,,1,1,1,1,100,,,,65,3.90
Bo Melton,2568261,WR,GB,BAL,,,,,,1,34,,,,,,41.90,,1,1,1,3,33,,,,66,3.90
Troy Franklin,2571997,WR,DEN,@KC,,,,,,4,17,,,,,,17.90,,4,4,4,4,100,,,,67,3.70
Adonai Mitchell,2572129,WR,NYJ,NE,,,,,,3,22,,,,,,16.60,,3,3,3,9,33,,,,68,3.70
Ladd McConkey,2572477,WR,LAC,HOU,,,,,,1,31,,,,,,20.10,,1,1,1,2,50,,,,69,3.60
Emeka Egbuka,2574585,WR,TB,@MIA,,,,,,3,20,,,,,,52.20,,3,3,3,5,60,,,,70,3.50
Chris Moore,2555209,WR,WAS,DAL,,,,,,1,15,,,,,,24.20,,1,1,1,1,100,,,,71,3.50
DeVonta Smith,2566409,WR,PHI,@BUF,,,,,,2,25,,,,,,13.70,,2,2,2,5,40,,,,72,3.50
Kyle Williams,2574387,WR,NE,@NYJ,,,,,,3,20,,,,,,35.10,,3,3,3,5,60,,,,73,3.50
Xavier Weaver,2573412,WR,ARI,@CIN,,,,,,2,24,,,,,,20.80,,2,2,2,3,67,,,,74,3.40
Lil'Jordan Humphrey,2562668,WR,DEN,@KC,,,,,,2,23,,,,,,17.90,,2,2,2,5,40,,,,75,3.30
Matthew Golden,2574130,WR,GB,BAL,,,,,,1,12,,,,,,41.90,,1,1,1,3,33,,,,76,3.20
JuJu Smith-Schuster,2558149,WR,KC,DEN,,,,,,3,16,,,,,,4.40,,3,3,3,3,100,,,,77,3.10
Kendrick Bourne,2558914,WR,SF,CHI,,,,,,1,25,,,,,,30.20,,1,1,1,1,100,,,,78,3.00
Shedrick Jackson,2570828,WR,LV,NYG,,,,,,2,20,,,,,,22.00,,2,2,2,3,67,,,,79,3.00
Tez Johnson,2574589,WR,TB,@MIA,,,,,,2,19,,,,,,52.20,,2,2,2,2,100,,,,80,2.90
Jalen Coker,2572920,WR,CAR,SEA,,,,,,2,16,,,,,,9.30,,2,2,2,2,100,,,,81,2.60
Christian Kirk,2560781,WR,HOU,@LAC,,,,,,2,1,,,,,,42.60,,2,2,2,5,40,,,,82,2.60
Michael Pittman,2564136,WR,IND,JAX,,,,,,2,16,,,,,,12.10,,2,2,2,3,67,,,,83,2.60
Marquez Valdes-Scantling,2560907,WR,PIT,@CLE,,,,,,3,21,,,,,1,9.00,,3,3,3,9,33,,,,84,2.60
Tetairoa McMillan,2573992,WR,CAR,SEA,,,,,,1,5,,,,,,9.30,,1,1,1,4,25,,,,85,2.50
Marvin Mims Jr.,2569717,WR,DEN,@KC,,,,,,3,10,,,,,,17.90,,3,3,3,4,75,,,,86,2.50
